timestamp_g_arrwAdc1Data[0];g_arrwAdc1Data[0];timestamp_g_arrwAdc1Data[1];g_arrwAdc1Data[1]
1683400444818;4095;1683400444818;4091
1683400444818;4091;1683400444818;4094
1683400444819;4090;1683400444819;4092
1683400444819;4089;1683400444819;4092
1683400444820;4089;1683400444820;4090
1683400444820;4094;1683400444820;4093
1683400444821;4092;1683400444821;4087
1683400444821;4091;1683400444821;4091
1683400444821;4095;1683400444821;4095
1683400444822;4095;1683400444822;4088
1683400444823;4087;1683400444823;4089
1683400444823;4084;1683400444823;4094
1683400444824;4091;1683400444824;4089
1683400444825;4095;1683400444825;4092
1683400444825;4088;1683400444825;4091
1683400444826;4084;1683400444826;4095
1683400444826;4081;1683400444826;4092
1683400444827;4094;1683400444827;4092
1683400444827;4095;1683400444827;4093
1683400444828;4090;1683400444828;4091
1683400444828;4088;1683400444828;4095
1683400444829;4081;1683400444829;4095
1683400444829;4091;1683400444829;4092
1683400444830;4094;1683400444830;4095
1683400444830;4095;1683400444830;4082
1683400444830;4087;1683400444830;4095
1683400444831;4089;1683400444831;4095
1683400444832;4091;1683400444832;4089
1683400444832;4087;1683400444832;4088
1683400444832;4090;1683400444832;4095
1683400444833;4092;1683400444833;4090
1683400444833;4095;1683400444833;4095
1683400444834;4086;1683400444834;4089
1683400444834;4095;1683400444834;4093
1683400444835;4095;1683400444835;4091
1683400444835;4086;1683400444835;4091
1683400444836;4095;1683400444836;4092
1683400444836;4092;1683400444836;4094
1683400444837;4091;1683400444837;4092
1683400444837;4089;1683400444837;4090
1683400444838;4091;1683400444838;4095
1683400444839;4093;1683400444839;4095
1683400444839;4090;1683400444839;4095
1683400444840;4085;1683400444840;4091
1683400444840;4094;1683400444840;4095
1683400444841;4095;1683400444841;4088
1683400444841;4095;1683400444841;4093
1683400444842;4095;1683400444842;4095
1683400444842;4092;1683400444842;4094
1683400444843;4095;1683400444843;4094
1683400444843;4091;1683400444843;4093
1683400444843;4091;1683400444843;4094
1683400444844;4088;1683400444844;4091
1683400444844;4092;1683400444844;4095
1683400444845;4095;1683400444845;4090
1683400444845;4088;1683400444845;4091
1683400444846;4092;1683400444846;4089
1683400444847;4091;1683400444847;4095
1683400444848;4095;1683400444848;4090
1683400444848;4094;1683400444848;4089
1683400444849;4089;1683400444849;4093
1683400444849;4095;1683400444849;4086
1683400444850;4093;1683400444850;4090
1683400444850;4094;1683400444850;4083
1683400444851;4095;1683400444851;4093
1683400444851;4093;1683400444851;4091
1683400444852;4092;1683400444852;4090
1683400444852;4091;1683400444852;4088
1683400444853;4094;1683400444853;4090
1683400444853;4094;1683400444853;4095
1683400444854;4090;1683400444854;4095
1683400444854;4091;1683400444854;4091
1683400444855;4090;1683400444855;4087
1683400444855;4089;1683400444855;4092
1683400444855;4087;1683400444855;4095
1683400444856;4095;1683400444856;4088
1683400444856;4091;1683400444856;4095
1683400444857;4095;1683400444857;4089
1683400444857;4095;1683400444857;4092
1683400444858;4092;1683400444858;4090
1683400444858;4094;1683400444858;4088
1683400444859;4091;1683400444859;4095
1683400444859;4092;1683400444859;4089
1683400444860;4091;1683400444860;4095
1683400444860;4089;1683400444860;4095
1683400444861;4095;1683400444861;4092
1683400444861;4094;1683400444861;4089
1683400444862;4090;1683400444862;4089
1683400444862;4091;1683400444862;4093
1683400444863;4095;1683400444863;4091
1683400444863;4089;1683400444863;4090
1683400444864;4091;1683400444864;4094
1683400444864;4095;1683400444864;4095
1683400444865;4095;1683400444865;4090
1683400444865;4095;1683400444865;4090
1683400444866;4087;1683400444866;4094
1683400444866;4093;1683400444866;4094
1683400444867;4091;1683400444867;4093
1683400444867;4087;1683400444867;4089
1683400444868;4091;1683400444868;4094
1683400444868;4081;1683400444868;4089
1683400444869;4093;1683400444869;4093
1683400444870;4091;1683400444870;4091
1683400444870;4091;1683400444870;4090
1683400444871;4087;1683400444871;4095
1683400444872;4093;1683400444872;4087
1683400444872;4095;1683400444872;4095
