timestamp_g_arrwAdc1Data[0];g_arrwAdc1Data[0];timestamp_g_arrwAdc1Data[1];g_arrwAdc1Data[1]
1683400335577;2040;1683400335577;2041
1683400335578;2041;1683400335578;2047
1683400335579;2041;1683400335579;2041
1683400335579;2038;1683400335579;2039
1683400335580;2039;1683400335580;2037
1683400335580;2041;1683400335580;2035
1683400335581;2041;1683400335581;2041
1683400335582;2042;1683400335582;2047
1683400335582;2038;1683400335582;2048
1683400335583;2041;1683400335583;2038
1683400335584;2044;1683400335584;2041
1683400335584;2047;1683400335584;2034
1683400335585;2039;1683400335585;2036
1683400335586;2038;1683400335586;2041
1683400335586;2052;1683400335586;2042
1683400335587;2044;1683400335587;2037
1683400335587;2044;1683400335587;2045
1683400335588;2036;1683400335588;2043
1683400335589;2039;1683400335589;2043
1683400335589;2035;1683400335589;2043
1683400335590;2041;1683400335590;2044
1683400335590;2046;1683400335590;2040
1683400335591;2040;1683400335591;2047
1683400335591;2039;1683400335591;2045
1683400335592;2037;1683400335592;2046
1683400335592;2044;1683400335592;2042
1683400335593;2037;1683400335593;2043
1683400335594;2047;1683400335594;2040
1683400335594;2044;1683400335594;2040
1683400335595;2040;1683400335595;2045
1683400335595;2039;1683400335595;2035
1683400335596;2040;1683400335596;2038
1683400335596;2038;1683400335596;2039
1683400335597;2052;1683400335597;2037
1683400335597;2042;1683400335597;2044
1683400335598;2033;1683400335598;2039
1683400335598;2041;1683400335598;2039
1683400335599;2037;1683400335599;2039
1683400335599;2035;1683400335599;2042
1683400335600;2040;1683400335600;2039
1683400335600;2037;1683400335600;2039
1683400335601;2041;1683400335601;2045
1683400335602;2037;1683400335602;2040
1683400335602;2043;1683400335602;2041
1683400335603;2044;1683400335603;2044
1683400335603;2035;1683400335603;2040
1683400335604;2035;1683400335604;2032
1683400335604;2039;1683400335604;2037
1683400335605;2049;1683400335605;2040
1683400335606;2046;1683400335606;2035
1683400335606;2042;1683400335606;2043
1683400335607;2038;1683400335607;2041
1683400335607;2043;1683400335607;2038
1683400335608;2040;1683400335608;2044
1683400335608;2045;1683400335608;2042
1683400335609;2042;1683400335609;2040
1683400335609;2036;1683400335609;2040
1683400335610;2037;1683400335610;2043
1683400335610;2035;1683400335610;2040
1683400335611;2042;1683400335611;2039
1683400335611;2044;1683400335611;2045
1683400335612;2038;1683400335612;2041
1683400335612;2039;1683400335612;2043
1683400335613;2040;1683400335613;2037
1683400335614;2039;1683400335614;2043
1683400335614;2040;1683400335614;2041
1683400335614;2044;1683400335614;2037
1683400335615;2039;1683400335615;2043
1683400335616;2042;1683400335616;2040
1683400335616;2046;1683400335616;2039
1683400335617;2041;1683400335617;2041
1683400335617;2042;1683400335617;2046
1683400335618;2041;1683400335618;2041
1683400335618;2037;1683400335618;2042
1683400335619;2041;1683400335619;2040
1683400335619;2039;1683400335619;2049
1683400335620;2045;1683400335620;2037
1683400335621;2045;1683400335621;2043
1683400335622;2039;1683400335622;2041
1683400335623;2040;1683400335623;2040
1683400335623;2046;1683400335623;2037
1683400335624;2043;1683400335624;2037
1683400335624;2037;1683400335624;2038
1683400335625;2038;1683400335625;2046
1683400335625;2039;1683400335625;2038
1683400335626;2040;1683400335626;2041
1683400335626;2045;1683400335626;2039
1683400335627;2054;1683400335627;2040
1683400335627;2038;1683400335627;2038
1683400335628;2052;1683400335628;2047
1683400335629;2039;1683400335629;2042
1683400335629;2037;1683400335629;2037
1683400335630;2040;1683400335630;2038
1683400335630;2038;1683400335630;2037
1683400335631;2042;1683400335631;2037
1683400335632;2045;1683400335632;2036
1683400335632;2028;1683400335632;2039
1683400335633;2040;1683400335633;2037
1683400335633;2043;1683400335633;2033
1683400335634;2038;1683400335634;2042
1683400335634;2043;1683400335634;2040
1683400335635;2041;1683400335635;2041
1683400335636;2049;1683400335636;2044
1683400335636;2043;1683400335636;2040
1683400335638;2040;1683400335638;2042
1683400335638;2043;1683400335638;2032
1683400335639;2029;1683400335639;2039
1683400335639;2042;1683400335639;2044
1683400335640;2046;1683400335640;2046
1683400335640;2042;1683400335640;2041
1683400335641;2041;1683400335641;2051
1683400335641;2050;1683400335641;2042
1683400335642;2046;1683400335642;2043
1683400335642;2039;1683400335642;2043
1683400335643;2044;1683400335643;2038
1683400335644;2042;1683400335644;2046
1683400335644;2047;1683400335644;2037
1683400335644;2036;1683400335644;2041
1683400335645;2042;1683400335645;2042
1683400335646;2042;1683400335646;2043
1683400335646;2038;1683400335646;2043
1683400335647;2041;1683400335647;2038
1683400335647;2033;1683400335647;2042
1683400335648;2042;1683400335648;2042
1683400335649;2034;1683400335649;2035
1683400335649;2035;1683400335649;2042
1683400335650;2042;1683400335650;2040
1683400335650;2042;1683400335650;2045
1683400335651;2044;1683400335651;2035
1683400335651;2044;1683400335651;2037
1683400335652;2027;1683400335652;2043
1683400335652;2037;1683400335652;2046
1683400335653;2044;1683400335653;2036
1683400335653;2043;1683400335653;2044
1683400335654;2041;1683400335654;2039
1683400335654;2041;1683400335654;2041
1683400335655;2043;1683400335655;2041
1683400335656;2043;1683400335656;2036
1683400335656;2045;1683400335656;2040
1683400335657;2045;1683400335657;2042
1683400335657;2038;1683400335657;2041
1683400335658;2042;1683400335658;2043
1683400335658;2047;1683400335658;2042
1683400335659;2036;1683400335659;2043
1683400335659;2044;1683400335659;2042
1683400335660;2039;1683400335660;2038
1683400335661;2052;1683400335661;2043
1683400335661;2036;1683400335661;2032
1683400335662;2038;1683400335662;2039
1683400335662;2044;1683400335662;2038
1683400335663;2043;1683400335663;2045
1683400335664;2041;1683400335664;2036
1683400335664;2038;1683400335664;2039
1683400335665;2044;1683400335665;2041
1683400335665;2047;1683400335665;2041
1683400335666;2054;1683400335666;2042
1683400335666;2043;1683400335666;2038
1683400335667;2034;1683400335667;2052
1683400335667;2050;1683400335667;2038
1683400335668;2046;1683400335668;2039
1683400335668;2045;1683400335668;2041
1683400335669;2040;1683400335669;2042
1683400335669;2039;1683400335669;2042
1683400335670;2039;1683400335670;2040
1683400335670;2038;1683400335670;2046
1683400335671;2034;1683400335671;2045
1683400335671;2041;1683400335671;2040
1683400335672;2045;1683400335672;2039
1683400335672;2041;1683400335672;2041
1683400335673;2030;1683400335673;2040
1683400335673;2037;1683400335673;2041
1683400335674;2040;1683400335674;2041
1683400335674;2043;1683400335674;2038
1683400335675;2037;1683400335675;2033
1683400335676;2051;1683400335676;2040
1683400335676;2042;1683400335676;2039
1683400335677;2050;1683400335677;2043
1683400335677;2037;1683400335677;2041
1683400335678;2042;1683400335678;2041
1683400335678;2035;1683400335678;2042
1683400335679;2045;1683400335679;2039
1683400335680;2039;1683400335680;2039
1683400335680;2044;1683400335680;2040
1683400335681;2042;1683400335681;2042
1683400335681;2046;1683400335681;2041
1683400335682;2039;1683400335682;2045
1683400335682;2031;1683400335682;2038
1683400335683;2037;1683400335683;2045
1683400335683;2041;1683400335683;2043
1683400335684;2042;1683400335684;2041
1683400335684;2035;1683400335684;2038
1683400335685;2043;1683400335685;2041
1683400335685;2043;1683400335685;2039
1683400335685;2044;1683400335685;2046
1683400335686;2044;1683400335686;2043
