time	V(vout)
8.333333333333330e-005	1.449351e-001
8.363095238095235e-005	1.453872e-001
8.660714285714283e-005	1.547620e-001
8.690476190476188e-005	1.552020e-001
8.928571428571426e-005	1.548329e-001
8.958333333333329e-005	1.552820e-001
9.255952380952377e-005	1.646273e-001
9.285714285714282e-005	1.650644e-001
9.523809523809520e-005	1.646719e-001
9.553571428571425e-005	1.651181e-001
9.851190476190473e-005	1.744342e-001
9.880952380952377e-005	1.748683e-001
1.011904761904762e-004	1.744525e-001
1.014880952380952e-004	1.748957e-001
1.044642857142857e-004	1.841828e-001
1.047619047619047e-004	1.846141e-001
1.071428571428571e-004	1.841751e-001
1.074404761904761e-004	1.846154e-001
1.104166666666666e-004	1.938736e-001
1.107142857142857e-004	1.943020e-001
1.130952380952381e-004	1.938399e-001
1.133928571428571e-004	1.942774e-001
1.163690476190476e-004	2.035069e-001
1.166666666666666e-004	2.039324e-001
1.190476190476190e-004	2.034474e-001
1.193452380952380e-004	2.038821e-001
1.223214285714285e-004	2.130830e-001
1.226190476190476e-004	2.135057e-001
1.250000000000000e-004	2.129979e-001
1.252976190476190e-004	2.134297e-001
1.282738095238095e-004	2.226023e-001
1.285714285714285e-004	2.230221e-001
1.309523809523809e-004	2.224917e-001
1.312499999999999e-004	2.229207e-001
1.342261904761904e-004	2.320651e-001
1.345238095238095e-004	2.324821e-001
1.369047619047619e-004	2.319292e-001
1.372023809523809e-004	2.323553e-001
1.401785714285714e-004	2.414717e-001
1.404761904761904e-004	2.418859e-001
1.428571428571428e-004	2.413106e-001
1.431547619047619e-004	2.417340e-001
1.461309523809524e-004	2.508225e-001
1.464285714285714e-004	2.512339e-001
1.488095238095238e-004	2.506364e-001
1.491071428571428e-004	2.510570e-001
1.520833333333333e-004	2.601178e-001
1.523809523809523e-004	2.605264e-001
1.547619047619047e-004	2.599069e-001
1.550595238095237e-004	2.603247e-001
1.580357142857142e-004	2.693579e-001
1.583333333333333e-004	2.697638e-001
1.607142857142857e-004	2.691223e-001
1.610119047619047e-004	2.695374e-001
1.639880952380952e-004	2.785432e-001
1.642857142857142e-004	2.789464e-001
1.666666666666666e-004	2.782830e-001
1.669642857142856e-004	2.786954e-001
1.699404761904762e-004	2.876740e-001
1.702380952380952e-004	2.880744e-001
1.726190476190476e-004	2.873894e-001
1.729166666666666e-004	2.877990e-001
1.758928571428571e-004	2.967506e-001
1.761904761904761e-004	2.971483e-001
1.785714285714285e-004	2.964417e-001
1.787630952380954e-004	2.966248e-001
1.788690476190475e-004	2.968487e-001
1.818452380952380e-004	3.057733e-001
1.821428571428571e-004	3.061684e-001
1.845238095238095e-004	3.054403e-001
1.846059523809524e-004	3.054734e-001
1.848214285714285e-004	3.058446e-001
1.877976190476190e-004	3.147425e-001
1.880952380952380e-004	3.151349e-001
1.904761904761904e-004	3.143855e-001
1.907738095238094e-004	3.147871e-001
1.911022619047610e-004	3.157674e-001
1.937499999999999e-004	3.236585e-001
1.940476190476190e-004	3.240482e-001
1.964285714285714e-004	3.232776e-001
1.967261904761904e-004	3.236766e-001
1.997023809523809e-004	3.325215e-001
1.999999999999999e-004	3.329086e-001
2.023809523809523e-004	3.321169e-001
2.026785714285713e-004	3.325133e-001
2.056547619047619e-004	3.413319e-001
2.059523809523809e-004	3.417164e-001
2.083333333333333e-004	3.409038e-001
2.086309523809523e-004	3.412975e-001
2.116071428571428e-004	3.500901e-001
2.119047619047618e-004	3.504720e-001
2.142857142857142e-004	3.496385e-001
2.145833333333332e-004	3.500296e-001
2.175595238095237e-004	3.587963e-001
2.178571428571428e-004	3.591756e-001
2.202380952380952e-004	3.583214e-001
2.205357142857142e-004	3.587100e-001
2.235119047619047e-004	3.674508e-001
2.238095238095237e-004	3.678275e-001
2.261904761904761e-004	3.669527e-001
2.264880952380951e-004	3.673387e-001
2.294642857142856e-004	3.760539e-001
2.297619047619047e-004	3.764281e-001
2.321428571428571e-004	3.755329e-001
2.324404761904761e-004	3.759163e-001
2.354166666666666e-004	3.846060e-001
2.357142857142856e-004	3.849776e-001
2.380952380952380e-004	3.840621e-001
2.383928571428570e-004	3.844430e-001
2.413690476190475e-004	3.931074e-001
2.416666666666666e-004	3.934764e-001
2.440476190476189e-004	3.925407e-001
2.443452380952380e-004	3.929191e-001
2.473214285714285e-004	4.015582e-001
2.476190476190475e-004	4.019248e-001
2.499999999999999e-004	4.009690e-001
2.502976190476190e-004	4.013448e-001
2.532738095238094e-004	4.099590e-001
2.535714285714285e-004	4.103230e-001
2.559523809523809e-004	4.093472e-001
2.562499999999999e-004	4.097206e-001
2.592261904761904e-004	4.183098e-001
2.595238095238094e-004	4.186714e-001
2.619047619047618e-004	4.176758e-001
2.622023809523809e-004	4.180467e-001
2.651785714285713e-004	4.266112e-001
2.654761904761904e-004	4.269703e-001
2.678571428571428e-004	4.259549e-001
2.681547619047618e-004	4.263233e-001
2.711309523809523e-004	4.348632e-001
2.714285714285713e-004	4.352199e-001
2.738095238095237e-004	4.341848e-001
2.741071428571428e-004	4.345508e-001
2.770833333333332e-004	4.430663e-001
2.773809523809523e-004	4.434205e-001
2.797619047619047e-004	4.423660e-001
2.800595238095237e-004	4.427295e-001
